name,categories,lat,lng,state,Asian,Chinese,Indo-Pak,Japanese,Korean,Thai,Vietnamese
Chow Town Grill and Buffet,Japanese Restaurant,30.847365972319086,-83.31903525472195,GA,0,0,0,1,0,0,0
Thai Cafe,Thai Restaurant,30.865374,-83.285307,GA,0,0,0,0,0,1,0
Osaka Hibachi and Sushi,Japanese Restaurant,30.881226,-83.285756,GA,0,0,0,1,0,0,0
Aligatou,Japanese Restaurant,30.81999698,-83.31428087,GA,0,0,0,1,0,0,0
Yummi Express,Japanese Restaurant,30.85645181319163,-83.95245349026321,GA,0,0,0,1,0,0,0
Ichiban Japanese Steakhouse & Sushi Bar,Japanese Restaurant,30.87311310996508,-83.29020889449839,GA,0,0,0,1,0,0,0
Masato Express,Japanese Restaurant,30.851591219630993,-83.94912938521641,GA,0,0,0,1,0,0,0
Mosato's,Japanese Restaurant,30.851486206054688,-83.9488296508789,GA,0,0,0,1,0,0,0
Osaka Hibachi & Sushi,Japanese Restaurant,30.83805006004257,-83.9463688166637,GA,0,0,0,1,0,0,0
Thai Chang,Thai Restaurant,30.972441499532827,-83.21456155884893,GA,0,0,0,0,0,1,0
Lin's Hibachi,Asian Restaurant,30.68165104766041,-83.21837949718702,GA,1,0,0,0,0,0,0
Chens China,Chinese Restaurant,31.032181,-82.744557,GA,0,1,0,0,0,0,0
Thai Mobile,Thai Restaurant,30.97077001280171,-83.21569650371507,GA,0,0,0,0,0,1,0
China King,Chinese Restaurant,30.78550518265111,-81.64931396322046,GA,0,1,0,0,0,0,0
China Wok,Chinese Restaurant,30.78415,-81.634804,GA,0,1,0,0,0,0,0
Tuptim Thai,Thai Restaurant,30.831514578629704,-82.00682419447108,GA,0,0,0,0,0,1,0
Thai Smile,Thai Restaurant,30.83171,-82.006751,GA,0,0,0,0,0,1,0
Bonzai,Japanese Restaurant,30.78924051,-81.64998,GA,0,0,0,1,0,0,0
Osaka Steak House,Japanese Restaurant,30.78412903118832,-81.61002589933094,GA,0,0,0,1,0,0,0
Saigon Tokyo,Vietnamese Restaurant,30.754263002506143,-81.57655768149931,GA,0,0,0,0,0,0,1
Raidas Asian Cafe,Asian Restaurant,30.7815468,-81.63094455,GA,1,0,0,0,0,0,0
Wasabi Sushi,Japanese Restaurant,30.777080070042423,-81.61984890494949,GA,0,0,0,1,0,0,0
Pat Thai,Thai Restaurant,30.750351529450842,-81.57757508528279,GA,0,0,0,0,0,1,0
Guang Zhou,Chinese Restaurant,31.614916036396643,-84.20743500698566,GA,0,1,0,0,0,0,0
House Of China II,Chinese Restaurant,31.61116697661515,-84.2136031932798,GA,0,1,0,0,0,0,0
Mikata Japanese Steakhouse & Sushi Bar,Japanese Restaurant,31.614170947503794,-84.21908591211329,GA,0,0,0,1,0,0,0
Rice Bowl,Asian Restaurant,31.631193294697734,-84.17522966975906,GA,1,0,0,0,0,0,0
Hong Kong Café,Chinese Restaurant,31.618581538871876,-84.22381796283035,GA,0,1,0,0,0,0,0
Crazy Buffet,Chinese Restaurant,31.577133400543982,-84.08898023591355,GA,0,1,0,0,0,0,0
Tokyo,Japanese Restaurant,31.619798895814785,-84.225474280144,GA,0,0,0,1,0,0,0
Hibachi Express,Japanese Restaurant,31.6110573347813,-84.2237240676649,GA,0,0,0,1,0,0,0
Tokyo Sushi & Hibachi,Japanese Restaurant,31.619568843130658,-84.22534271270119,Georgia,0,0,0,1,0,0,0
Cup O Rice N Wings,Asian Restaurant,31.599965,-84.175963,GA,1,0,0,0,0,0,0
Hong Kong Buffet,Chinese Restaurant,31.17226783934452,-84.73411459561504,GA,0,1,0,0,0,0,0
Kings Deli,Asian Restaurant,31.57765301377062,-84.176453812499,GA,1,0,0,0,0,0,0
Hibachi Grill Buffet,Asian Restaurant,31.612246795543467,-84.21506981523406,GA,1,0,0,0,0,0,0
Great Wall,Chinese Restaurant,31.61256793367673,-84.21849754792221,GA,0,1,0,0,0,0,0
Shogun,Japanese Restaurant,31.612362575103585,-84.22443490227322,GA,0,0,0,1,0,0,0
China Shuttle,Chinese Restaurant,31.617504904236373,-84.2168797191318,GA,0,1,0,0,0,0,0
No. 1 Chinese,Chinese Restaurant,31.774157753380045,-84.44685213630802,GA,0,1,0,0,0,0,0
Red Wok,Chinese Restaurant,31.56217785804277,-84.17676905490602,GA,0,1,0,0,0,0,0
China Garden,Chinese Restaurant,31.621212131986926,-84.22401248894586,GA,0,1,0,0,0,0,0
Peking House,Chinese Restaurant,31.55026625472896,-84.13767283377122,GA,0,1,0,0,0,0,0
Dragon House,Chinese Restaurant,31.6094883,-84.15286683333333,GA,0,1,0,0,0,0,0
China Garden,Chinese Restaurant,31.607274057013342,-84.1754248743482,GA,0,1,0,0,0,0,0
Hibachi Express,Japanese Restaurant,31.674468,-84.137158,GA,0,0,0,1,0,0,0
Hibachi Express,Japanese Restaurant,31.629815325397928,-84.17749258125322,GA,0,0,0,1,0,0,0
Japan Express,Japanese Restaurant,31.552038,-84.161157,GA,0,0,0,1,0,0,0
Panda,Chinese Restaurant,31.612944,-84.220691,GA,0,1,0,0,0,0,0
Tokoyo Japanese Steak House And Sushi Bar,Japanese Restaurant,31.619754,-84.225362,GA,0,0,0,1,0,0,0
Viėt Phô,Vietnamese Restaurant,31.615552,-84.223478,GA,0,0,0,0,0,0,1
Asahi Express,Japanese Restaurant,31.457587299363478,-83.52640583660497,GA,0,0,0,1,0,0,0
saigon kitchen,Thai Restaurant,31.45745086669922,-83.52174377441406,GA,0,0,0,0,0,1,0
Coconut Asian Bistro,Asian Restaurant,31.457369,-83.521851,GA,1,0,0,0,0,0,0
Main Garden,Asian Restaurant,31.701265663897168,-83.24935924016057,GA,1,0,0,0,0,0,0
King Buffet,Asian Restaurant,31.45282,-83.52723,GA,1,0,0,0,0,0,0
China Garden,Chinese Restaurant,31.2065756,-83.2492946,GA,0,1,0,0,0,0,0
Lin's Garden,Chinese Restaurant,31.44510092156143,-83.54347791858177,Georgia,0,1,0,0,0,0,0
New China Buffet,Chinese Restaurant,31.4711878291282,-83.50300860225704,GA,0,1,0,0,0,0,0
New China Buffet,Chinese Restaurant,31.179171725941664,-83.78216559793442,GA,0,1,0,0,0,0,0
China Cafe,Chinese Restaurant,31.179096767823715,-83.77991840342499,GA,0,1,0,0,0,0,0
China Buffet Restaurant,Chinese Restaurant,31.134858205695366,-83.44006977370849,GA,0,1,0,0,0,0,0
China House,Chinese Restaurant,31.13503584,-83.43132876,GA,0,1,0,0,0,0,0
Dragon 1 Chinese Restyrant,Chinese Restaurant,31.43157036143784,-83.51621147271537,GA,0,1,0,0,0,0,0
Peking House,Chinese Restaurant,31.171140259728592,-83.75976859998394,GA,0,1,0,0,0,0,0
Great Wall,Chinese Restaurant,31.458359056601832,-83.5078871129709,GA,0,1,0,0,0,0,0
Oishii Japanese Grill,Japanese Restaurant,31.445733689092773,-83.54473519029399,GA,0,0,0,1,0,0,0
Oishii,Japanese Restaurant,31.445525,-83.544686,GA,0,0,0,1,0,0,0
KOBE Hibachi and Sushi,Japanese Restaurant,31.691092,-83.24734,GA,0,0,0,1,0,0,0
Zoku Hibachi,Japanese Restaurant,31.135868,-83.440063,GA,0,0,0,1,0,0,0
Tokyo Japanese Restaurant,Japanese Restaurant,31.452908165765677,-83.52888592639911,GA,0,0,0,1,0,0,0
Tokyo Sushi Bar,Japanese Restaurant,31.452907902392415,-83.52870745195277,GA,0,0,0,1,0,0,0
Ichiban Grill,Japanese Restaurant,31.186021,-83.759838,GA,0,0,0,1,0,0,0
Osaka Hitachl and Sushi,Japanese Restaurant,31.463107,-83.527782,GA,0,0,0,1,0,0,0
Kobe,Japanese Restaurant,31.498734,-82.851244,GA,0,0,0,1,0,0,0
Tokyo Express,Japanese Restaurant,31.514446176048253,-82.85044504774919,GA,0,0,0,1,0,0,0
Mr Sze Chinese Food,Chinese Restaurant,31.51745,-82.639969,GA,0,1,0,0,0,0,0
China Buffet,Chinese Restaurant,31.86403874112481,-82.60099819865123,GA,0,1,0,0,0,0,0
Jin Jin,Chinese Restaurant,31.50850648772249,-82.85027149425815,GA,0,1,0,0,0,0,0
New China Resturant,Chinese Restaurant,31.863020162008276,-82.60540042601184,GA,0,1,0,0,0,0,0
Thai Smile,Thai Restaurant,31.498798,-82.85012,GA,0,0,0,0,0,1,0
Fuji Express,Japanese Restaurant,31.48810119956399,-82.84560115859745,Georgia,0,0,0,1,0,0,0
Wong's Palace Restaurant,Chinese Restaurant,31.208998241450765,-82.33929178625225,GA,0,1,0,0,0,0,0
New China,Chinese Restaurant,31.598338346375026,-81.87418757416283,GA,0,1,0,0,0,0,0
Fancy Q's,Japanese Restaurant,31.21061482199517,-82.36084642984751,GA,0,0,0,1,0,0,0
New Super Buffet,Chinese Restaurant,31.605158669849995,-81.90855657453022,GA,0,1,0,0,0,0,0
Kobe Japanese Hibachi & Sushi,Japanese Restaurant,31.196351977423426,-82.3201214631226,GA,0,0,0,1,0,0,0
Fuji Japanese Steakhouse & Seafood,Japanese Restaurant,31.201216245328006,-82.32764030897413,GA,0,0,0,1,0,0,0
Number 1 Wok,Chinese Restaurant,31.2257,-82.353397,GA,0,1,0,0,0,0,0
Panda,Chinese Restaurant,31.304652128309478,-82.24305837035072,GA,0,1,0,0,0,0,0
Jin's Buffet,Chinese Restaurant,31.78008819,-82.35503681666667,GA,0,1,0,0,0,0,0
New Beijing Buffet,Chinese Restaurant,31.194657171314738,-82.32139612177245,GA,0,1,0,0,0,0,0
Nang's Thai,Thai Restaurant,31.610732454788568,-81.889473370981,GA,0,0,0,0,0,1,0
japanese express,Japanese Restaurant,31.48500633239746,-82.01851654052734,GA,0,0,0,1,0,0,0
Fuji Express,Japanese Restaurant,31.209318,-82.385411,GA,0,0,0,1,0,0,0
Fuji Express,Japanese Restaurant,31.613729299922742,-81.87728840334678,GA,0,0,0,1,0,0,0
Nikoto Japanese Express,Japanese Restaurant,31.267209,-82.286365,GA,0,0,0,1,0,0,0
Fuji,Japanese Restaurant,31.77930023899885,-82.35216903707173,GA,0,0,0,1,0,0,0
fuji express,Japanese Restaurant,31.2012085713137,-82.32762068118384,GA,0,0,0,1,0,0,0
Kobe Hibachi,Japanese Restaurant,31.60333463571555,-81.90668882594767,GA,0,0,0,1,0,0,0
Fuji,Japanese Restaurant,31.299066,-82.24893705916737,Georgia,0,0,0,1,0,0,0
Oishii,Japanese Restaurant,31.592521,-81.871195,Georgia,0,0,0,1,0,0,0
Kobe Hibachi & Sushi,Japanese Restaurant,31.785211,-82.362718,GA,0,0,0,1,0,0,0
Kyoto Express,Asian Restaurant,31.21361924476782,-81.48238242423183,GA,1,0,0,0,0,0,0
Golden Hibachi Buffet,Chinese Restaurant,31.838536156284025,-81.59644841869489,GA,0,1,0,0,0,0,0
Panda Express,Chinese Restaurant,31.822362,-81.59995,GA,0,1,0,0,0,0,0
Basil Thai,Thai Restaurant,31.147584,-81.494951,GA,0,0,0,0,0,1,0
Fancy Q Sushi Bar & Grill,Japanese Restaurant,31.162380854696035,-81.38897006706945,GA,0,0,0,1,0,0,0
Seasons Of Japan,Japanese Restaurant,31.202949398958967,-81.48222923827352,GA,0,0,0,1,0,0,0
Fancy Q,Japanese Restaurant,31.19388679315297,-81.47977440834259,GA,0,0,0,1,0,0,0
Tip Tum Thai,Thai Restaurant,31.22666833526042,-81.52735241170689,GA,0,0,0,0,0,1,0
Orient Express,Chinese Restaurant,31.84124210842649,-81.60158179939276,GA,0,1,0,0,0,0,0
Kobe Japanese Steakhouse,Japanese Restaurant,31.85423157489538,-81.57741380724806,GA,0,0,0,1,0,0,0
China Restaurant,Chinese Restaurant,31.852287949997486,-81.58001144340825,GA,0,1,0,0,0,0,0
China One,Chinese Restaurant,31.2134999610978,-81.48100074143443,Georgia,0,1,0,0,0,0,0
First Asia Express,Asian Restaurant,31.845719365844317,-81.60228252410889,GA,1,0,0,0,0,0,0
Asian Taste Lee,Asian Restaurant,31.22646244793565,-81.52706306266212,GA,1,0,0,0,0,0,0
New Hong Kong,Chinese Restaurant,31.19309425354004,-81.4856185913086,GA,0,1,0,0,0,0,0
Wok N Roll,Chinese Restaurant,31.85348566,-81.60594,GA,0,1,0,0,0,0,0
Panda Express,Chinese Restaurant,31.235073,-81.49978,GA,0,1,0,0,0,0,0
China Super Buffet,Chinese Restaurant,31.851426845407197,-81.58396834838193,GA,0,1,0,0,0,0,0
Pho #1,Vietnamese Restaurant,31.208901195774573,-81.4822493659415,GA,0,0,0,0,0,0,1
Wok N Roll,Chinese Restaurant,31.16591975233193,-81.49297714233398,GA,0,1,0,0,0,0,0
Seoul Restaurant,Korean Restaurant,31.827214,-81.619263170363,GA,0,0,0,0,1,0,0
Kyoto Japanese Steakhouse,Japanese Restaurant,31.845428352273093,-81.5934258501408,GA,0,0,0,1,0,0,0
City Buffet,Chinese Restaurant,31.21654073937155,-81.48973307073759,Georgia,0,1,0,0,0,0,0
China Wok,Chinese Restaurant,31.2175914,-81.489457,GA,0,1,0,0,0,0,0
China Lee,Chinese Restaurant,31.22676199,-81.526465,GA,0,1,0,0,0,0,0
Chopstick Cafe,Chinese Restaurant,31.826888812718643,-81.61981189785662,GA,0,1,0,0,0,0,0
Fortune House,Chinese Restaurant,31.15881861534768,-81.39111794017029,GA,0,1,0,0,0,0,0
China One,Chinese Restaurant,31.139346550838905,-81.58748601648517,GA,0,1,0,0,0,0,0
Wok N Roll 2,Chinese Restaurant,31.215167259462312,-81.48067246828667,GA,0,1,0,0,0,0,0
China Town,Chinese Restaurant,31.247850892672957,-81.50709529151005,GA,0,1,0,0,0,0,0
Chens Express,Chinese Restaurant,31.523881912231445,-81.42998504638672,GA,0,1,0,0,0,0,0
China #1,Chinese Restaurant,31.3753604888916,-81.43485260009766,GA,0,1,0,0,0,0,0
Won-Ton,Chinese Restaurant,31.84451,-81.59949,GA,0,1,0,0,0,0,0
Chinatown Restaurant,Chinese Restaurant,31.247837891198877,-81.5067790657521,GA,0,1,0,0,0,0,0
Top's China,Chinese Restaurant,31.842492769426116,-81.6014426212162,GA,0,1,0,0,0,0,0
Hong Kong Restaurant,Chinese Restaurant,31.82497502197177,-81.60002941274128,GA,0,1,0,0,0,0,0
China #1,Chinese Restaurant,31.335387124409113,-81.467165328071,GA,0,1,0,0,0,0,0
Sushi House,Japanese Restaurant,31.842706984674322,-81.60160276524809,GA,0,0,0,1,0,0,0
Nakorn Thai Cuisine,Thai Restaurant,31.226646,-81.527295,GA,0,0,0,0,0,1,0
Sawadee Thai Cuisine,Thai Restaurant,31.834385,-81.609534,GA,0,0,0,0,0,1,0
Tara Thai and Sushi,Thai Restaurant,31.163329,-81.387548,GA,0,0,0,0,0,1,0
Tup Tim Thai Restaurant,Thai Restaurant,31.264836,-81.518758,GA,0,0,0,0,0,1,0
Sumo Hibachi Grill & Sushi,Japanese Restaurant,31.836083456341044,-81.59636779371777,GA,0,0,0,1,0,0,0
Kobe Japanese Steak House,Japanese Restaurant,31.159099,-81.3902303,Georgia,0,0,0,1,0,0,0
Sushi House,Japanese Restaurant,31.85813,-81.607109,GA,0,0,0,1,0,0,0
Sumo,Japanese Restaurant,31.21494,-81.4861,GA,0,0,0,1,0,0,0
Saigon Pho,Vietnamese Restaurant,31.22396416177871,-81.47747687226453,GA,0,0,0,0,0,0,1
Hwang Keum Jung Korean Restaraunt,Korean Restaurant,31.195123,-81.482517,GA,0,0,0,0,1,0,0
Korean Kari Out,Korean Restaurant,31.840617,-81.59759,GA,0,0,0,0,1,0,0
Chef Lee's Peking Restaurant,Chinese Restaurant,32.53173418655664,-84.96421109441076,GA,0,1,0,0,0,0,0
Mikata Japanese Steakhouse & Sushi Bar,Japanese Restaurant,32.5173934,-84.9556952,GA,0,0,0,1,0,0,0
Uptown Vietnam Cuisine,Vietnamese Restaurant,32.47037183788633,-84.992943707113,GA,0,0,0,0,0,0,1
Sarku Japan,Japanese Restaurant,32.50846662793784,-84.9435029337723,GA,0,0,0,1,0,0,0
Ok Sun Korean Restaurant,Korean Restaurant,32.55980525195635,-84.94754217472831,GA,0,0,0,0,1,0,0
Hibachi Grill Supreme Buffet,Asian Restaurant,32.482021281031166,-84.9446959457488,GA,1,0,0,0,0,0,0
Mandarin Cafe,Chinese Restaurant,32.53240230101492,-84.95445942249611,GA,0,1,0,0,0,0,0
Chili Thai,Thai Restaurant,32.46494281755456,-84.99418267415837,GA,0,0,0,0,0,1,0
Thai House,Thai Restaurant,32.5234792,-84.958715,GA,0,0,0,0,0,1,0
New China Express (Dolla Scoop),Chinese Restaurant,32.53650177259679,-84.87831737793266,GA,0,1,0,0,0,0,0
Fuji Japanese Steakhouse,Japanese Restaurant,32.53864534473995,-84.95590570959652,GA,0,0,0,1,0,0,0
New China,Chinese Restaurant,32.5383719813171,-84.9555759792113,GA,0,1,0,0,0,0,0
Panda Garden,Chinese Restaurant,32.52092208116921,-84.88915281178427,GA,0,1,0,0,0,0,0
Wasabi Sushi & Thai,Thai Restaurant,32.53402955964205,-84.96695662812375,GA,0,0,0,0,0,1,0
Lin China,Chinese Restaurant,32.55731536444457,-84.90522915618465,GA,0,1,0,0,0,0,0
Samurai Japanese Cuisine and Sushi Bar,Japanese Restaurant,32.46527096654288,-84.99335577026281,GA,0,0,0,1,0,0,0
Panda Express,Chinese Restaurant,32.54150069443045,-84.95051948120383,GA,0,1,0,0,0,0,0
Lemongrass,Japanese Restaurant,32.4720896013365,-84.95581193246942,GA,0,0,0,1,0,0,0
Samurai II Japanese Cuisine and Sushi Bar,Japanese Restaurant,32.55181297929126,-84.94611226101891,GA,0,0,0,1,0,0,0
Sushiko Japanese Restaurant,Japanese Restaurant,32.48427262291006,-84.93821232327775,GA,0,0,0,1,0,0,0
Lucky Dragon,Chinese Restaurant,32.534568311927615,-84.90601338849186,GA,0,1,0,0,0,0,0
Korea House,Korean Restaurant,32.52241253398084,-84.96398351816848,GA,0,0,0,0,1,0,0
Golden Chopsticks,Korean Restaurant,32.44546050133791,-84.92973466635013,GA,0,0,0,0,1,0,0
Pho' vy II,Vietnamese Restaurant,32.51706856637588,-84.95543844982075,GA,0,0,0,0,0,0,1
Shogun Japanese Steak House,Japanese Restaurant,32.50672524944768,-84.9652210727203,GA,0,0,0,1,0,0,0
Koreana,Korean Restaurant,32.52860814599206,-84.92465653964963,GA,0,0,0,0,1,0,0
chef changs asian grill,Asian Restaurant,32.536750075493785,-84.8702903459799,Georgia,1,0,0,0,0,0,0
Main PX Manchu WOK,Asian Restaurant,32.37568509409677,-84.92349525239193,Georgia,1,0,0,0,0,0,0
China Express,Chinese Restaurant,32.50710284606957,-84.95809342523671,GA,0,1,0,0,0,0,0
#1 Chinese Restaurant,Chinese Restaurant,32.41634745,-84.941703,GA,0,1,0,0,0,0,0
Great Wall,Chinese Restaurant,32.52278937365838,-84.94800567626953,GA,0,1,0,0,0,0,0
Hungry,Asian Restaurant,32.5363448241917,-84.87751450433556,GA,1,0,0,0,0,0,0
Lee' Golden China,Chinese Restaurant,32.470375,-84.9865574,GA,0,1,0,0,0,0,0
Hibachi Express,Asian Restaurant,32.53900122927786,-84.8743646753293,GA,1,0,0,0,0,0,0
Just Thai,Thai Restaurant,32.514627872814955,-84.98451439186263,GA,0,0,0,0,0,1,0
Hibachi Express,Japanese Restaurant,32.532491683409006,-84.96384586178063,GA,0,0,0,1,0,0,0
China Kitchen,Chinese Restaurant,32.482234,-84.896988,GA,0,1,0,0,0,0,0
Teriyaki ToGo,Japanese Restaurant,32.53684852219128,-84.87011543617932,GA,0,0,0,1,0,0,0
Sunny's Deli,Chinese Restaurant,32.428125,-84.939985,GA,0,1,0,0,0,0,0
China Star,Chinese Restaurant,32.50770921408763,-84.93304874442742,GA,0,1,0,0,0,0,0
New Garden Chinese Restaurant,Chinese Restaurant,32.489448802574614,-84.971622959596,GA,0,1,0,0,0,0,0
Hong Kong Buffet,Chinese Restaurant,32.533210124157414,-84.96929168701172,GA,0,1,0,0,0,0,0
China Moon Restaurant,Chinese Restaurant,32.520511,-84.948279,GA,0,1,0,0,0,0,0
New China Super Buffet,Chinese Restaurant,32.538768236354805,-84.95535460652593,GA,0,1,0,0,0,0,0
China Wok,Chinese Restaurant,32.55578269215839,-84.97383153562423,GA,0,1,0,0,0,0,0
Buffet City,Chinese Restaurant,32.481307,-84.94607,GA,0,1,0,0,0,0,0
Lucky China Buffet,Chinese Restaurant,32.50645408005585,-84.95480657536557,GA,0,1,0,0,0,0,0
Mandarin Express,Chinese Restaurant,32.508514,-84.943541,GA,0,1,0,0,0,0,0
Mandarin Express,Chinese Restaurant,32.508384704589844,-84.94351196289062,GA,0,1,0,0,0,0,0
China Cafe,Chinese Restaurant,32.491473337957395,-84.91931580675242,GA,0,1,0,0,0,0,0
Spicy China,Chinese Restaurant,32.524285,-84.88866486,GA,0,1,0,0,0,0,0
China Wok III,Chinese Restaurant,32.5242604071438,-84.88874865372011,GA,0,1,0,0,0,0,0
Grand Panda Express,Chinese Restaurant,32.48331606388092,-84.938041,GA,0,1,0,0,0,0,0
Hong Kong Chinese Takeout,Chinese Restaurant,32.44560594921343,-84.9298655145846,GA,0,1,0,0,0,0,0
New China Express,Chinese Restaurant,32.53630420265102,-84.87831338300865,GA,0,1,0,0,0,0,0
Mandarin House,Chinese Restaurant,32.5327912689883,-84.95387081230726,GA,0,1,0,0,0,0,0
China Inn,Chinese Restaurant,32.469477495892576,-84.96025117911684,GA,0,1,0,0,0,0,0
No. 1 China Express,Chinese Restaurant,32.50669798394631,-84.95650807704514,GA,0,1,0,0,0,0,0
China Wok,Chinese Restaurant,32.43158939875168,-84.95356591823686,GA,0,1,0,0,0,0,0
Buffet City Of Columbus,Chinese Restaurant,32.52161541973911,-84.95935862297725,GA,0,1,0,0,0,0,0
No. 1 Chinese Restaurant,Chinese Restaurant,32.412256501155994,-84.9476811389949,GA,0,1,0,0,0,0,0
China Inn Express,Chinese Restaurant,32.40582024688414,-84.9314871982171,GA,0,1,0,0,0,0,0
Orient Express,Korean Restaurant,32.40995083678854,-84.94137965902199,GA,0,0,0,0,1,0,0
Hibachi Buffet,Japanese Restaurant,32.53333276081727,-84.96930735749244,GA,0,0,0,1,0,0,0
Shogun Japanese Steak House,Japanese Restaurant,32.545231864761014,-84.94526140046469,GA,0,0,0,1,0,0,0
Jumbo China,Chinese Restaurant,32.47205442094064,-84.95603792616606,GA,0,1,0,0,0,0,0
Thai and Thai,Thai Restaurant,32.528148,-84.958508,GA,0,0,0,0,0,1,0
Basil Thai Kitchen,Thai Restaurant,32.508352,-84.943533,GA,0,0,0,0,0,1,0
Chili Thai,Thai Restaurant,32.50338327823354,-84.9754277129861,GA,0,0,0,0,0,1,0
Thai House,Thai Restaurant,32.51,-84.87,GA,0,0,0,0,0,1,0
Yamazaki Sushi & Hibachi,Japanese Restaurant,32.539742830773434,-84.86796491748095,GA,0,0,0,1,0,0,0
Sarku,Japanese Restaurant,32.5085805939892,-84.94344757959294,GA,0,0,0,1,0,0,0
Miyori,Japanese Restaurant,32.516627,-84.968314,GA,0,0,0,1,0,0,0
JL Japanese Express,Japanese Restaurant,32.547415,-84.940975,GA,0,0,0,1,0,0,0
Fuji,Japanese Restaurant,32.538659367596686,-84.95594912952738,GA,0,0,0,1,0,0,0
Tokyo III,Japanese Restaurant,32.533651,-84.969094,GA,0,0,0,1,0,0,0
Hibachi Express,Japanese Restaurant,32.415876,-84.943484,GA,0,0,0,1,0,0,0
Kimus Japanese Restaurant,Japanese Restaurant,32.536091,-84.954768,GA,0,0,0,1,0,0,0
Fugi,Japanese Restaurant,32.54535143381103,-84.95309841078613,GA,0,0,0,1,0,0,0
Wasabi Columbus Park,Japanese Restaurant,32.54249428475199,-84.9494694857147,GA,0,0,0,1,0,0,0
Osaka,Japanese Restaurant,32.52269046430663,-84.95731091921469,GA,0,0,0,1,0,0,0
Pho Vy,Vietnamese Restaurant,32.51471402609212,-84.98456988672572,GA,0,0,0,0,0,0,1
Pho'Viet,Vietnamese Restaurant,32.51699026593083,-84.95533428084214,GA,0,0,0,0,0,0,1
Seoul Korean Restaurant,Korean Restaurant,32.4166389075091,-84.95160439354018,GA,0,0,0,0,1,0,0
Mongo Grill,Asian Restaurant,32.56101323073191,-84.9381329881079,GA,1,0,0,0,0,0,0
China Wok,Chinese Restaurant,32.55776468642445,-84.23750889636133,GA,0,1,0,0,0,0,0
Ming Garden,Chinese Restaurant,32.07515297918339,-84.2175590672665,GA,0,1,0,0,0,0,0
